Addr1,Addr2,Addr3,Addr4,Addr5
清川,龙州,峡路,宋朝,
三泉,峡路,宋朝,,
西县,峡路,宋朝,,
富顺监,峡路,宋朝,,
富顺,富顺监,峡路,宋朝,
文贵,峡路,宋朝,,
文贵,文贵,峡路,宋朝,
光荣,峡路,宋朝,,
光荣,光荣,峡路,宋朝,
田氏,峡路,宋朝,,
邛水,田氏,峡路,宋朝,
邛水,田氏,峡路,宋朝,
务川,田氏,峡路,宋朝,
安夷,田氏,峡路,宋朝,
邛水,田氏,峡路,宋朝,
大宁监,峡路,宋朝,,
大宁监,大宁监,峡路,宋朝,
大昌,大宁监,峡路,宋朝,
南平军,峡路,宋朝,,
隆化,南平军,峡路,宋朝,
南川,南平军,峡路,宋朝,
播川城,南平军,峡路,宋朝,
梁山军,峡路,宋朝,,
梁山,梁山军,峡路,宋朝,
梁山,梁山军,峡路,宋朝,
云安军,峡路,宋朝,,
安义,云安军,峡路,宋朝,
云安,云安军,峡路,宋朝,
渝州,峡路,宋朝,,
巴县,渝州,峡路,宋朝,
江津,渝州,峡路,宋朝,
壁山,渝州,峡路,宋朝,
万寿,渝州,峡路,宋朝,
南平,渝州,峡路,宋朝,
南川,渝州,峡路,宋朝,
南羁縻州,渝州,峡路,宋朝,
溱羁縻州,渝州,峡路,宋朝,
涪州,峡路,宋朝,,
涪陵,涪州,峡路,宋朝,
乐温,涪州,峡路,宋朝,
枳县,涪州,峡路,宋朝,
宾化,涪州,峡路,宋朝,
温山,涪州,峡路,宋朝,
武龙,涪州,峡路,宋朝,
隆化,涪州,峡路,宋朝,
开州,峡路,宋朝,,
开江,开州,峡路,宋朝,
万岁,开州,峡路,宋朝,
清水,开州,峡路,宋朝,
新浦,开州,峡路,宋朝,
万州,峡路,宋朝,,
南浦,万州,峡路,宋朝,
武宁,万州,峡路,宋朝,
梁山,万州,峡路,宋朝,
施州,峡路,宋朝,,
清江,施州,峡路,宋朝,
建始,施州,峡路,宋朝,
清江郡,施州,峡路,宋朝,
夔州,峡路,宋朝,,
宁江军节度,夔州,峡路,宋朝,
云安,夔州,峡路,宋朝,
大昌,夔州,峡路,宋朝,
巫山,夔州,峡路,宋朝,
奉节,夔州,峡路,宋朝,
壁州,峡路,宋朝,,
白石,壁州,峡路,宋朝,
符阳,壁州,峡路,宋朝,
通江,壁州,峡路,宋朝,
集州,峡路,宋朝,,
大牟,集州,峡路,宋朝,
通平,集州,峡路,宋朝,
嘉川,集州,峡路,宋朝,
清化,集州,峡路,宋朝,
难江,集州,峡路,宋朝,
蓬州,峡路,宋朝,,
蓬池,蓬州,峡路,宋朝,
仪陇,蓬州,峡路,宋朝,
朗池,蓬州,峡路,宋朝,
营山,蓬州,峡路,宋朝,
伏虞,蓬州,峡路,宋朝,
蓬山,蓬州,峡路,宋朝,
宕渠,蓬州,峡路,宋朝,
相如,蓬州,峡路,宋朝,
良山,蓬州,峡路,宋朝,
文州,峡路,宋朝,,
曲水,文州,峡路,宋朝,
巴州,峡路,宋朝,,
化城,巴州,峡路,宋朝,
恩阳,巴州,峡路,宋朝,
曾口,巴州,峡路,宋朝,
盘道,巴州,峡路,宋朝,
归仁,巴州,峡路,宋朝,
始宁,巴州,峡路,宋朝,
其章,巴州,峡路,宋朝,
七盘,巴州,峡路,宋朝,
清化,巴州,峡路,宋朝,
通江,巴州,峡路,宋朝,
难江,巴州,峡路,宋朝,
阆州,峡路,宋朝,,
阆中,阆州,峡路,宋朝,
苍溪,阆州,峡路,宋朝,
南部,阆州,峡路,宋朝,
新井,阆州,峡路,宋朝,
奉国,阆州,峡路,宋朝,
新政,阆州,峡路,宋朝,
西水,阆州,峡路,宋朝,
岐山,阆州,峡路,宋朝,
晋安,阆州,峡路,宋朝,
安德军节度,阆州,峡路,宋朝,
洋州,峡路,宋朝,,
兴道,洋州,峡路,宋朝,
西乡,洋州,峡路,宋朝,
真符,洋州,峡路,宋朝,
武康军节度,洋州,峡路,宋朝,
武定军节度,洋州,峡路,宋朝,
利州,峡路,宋朝,,
嘉川,利州,峡路,宋朝,
宁武军节度,利州,峡路,宋朝,
昭武军节度,利州,峡路,宋朝,
平蜀,利州,峡路,宋朝,
裔山,利州,峡路,宋朝,
昭化,利州,峡路,宋朝,
益昌,利州,峡路,宋朝,
葭萌,利州,峡路,宋朝,
绵谷,利州,峡路,宋朝,
兴元府,峡路,宋朝,,
三泉,兴元府,峡路,宋朝,
西县,兴元府,峡路,宋朝,
山南西道节度,兴元府,峡路,宋朝,
西县,兴元府,峡路,宋朝,
褒城,兴元府,峡路,宋朝,
城固,兴元府,峡路,宋朝,
廉水,兴元府,峡路,宋朝,
南郑,兴元府,峡路,宋朝,
富义监,峡路,宋朝,,
富义监,富义监,峡路,宋朝,
富顺,富义监,峡路,宋朝,
富顺监,富义监,峡路,宋朝,
富顺,富顺监,富义监,峡路,宋朝
怀安军,峡路,宋朝,,
金堂,怀安军,峡路,宋朝,
金水,怀安军,峡路,宋朝,
渠州,峡路,宋朝,,
邻水,渠州,峡路,宋朝,
邻山,渠州,峡路,宋朝,
渠江,渠州,峡路,宋朝,
大竹,渠州,峡路,宋朝,
流江,渠州,峡路,宋朝,
戎州,峡路,宋朝,,
棘道,戎州,峡路,宋朝,
义宾,戎州,峡路,宋朝,
宣化,戎州,峡路,宋朝,
南溪,戎州,峡路,宋朝,
开边,戎州,峡路,宋朝,
归顺,戎州,峡路,宋朝,
马湖江部,戎州,峡路,宋朝,
石门路,戎州,峡路,宋朝,
南广部,戎州,峡路,宋朝,
宜宾,戎州,峡路,宋朝,
庆符,戎州,峡路,宋朝,
荣州,峡路,宋朝,,
和义,荣州,峡路,宋朝,
公井,荣州,峡路,宋朝,
应灵,荣州,峡路,宋朝,
资官,荣州,峡路,宋朝,
威远,荣州,峡路,宋朝,
荣德,荣州,峡路,宋朝,
旭川,荣州,峡路,宋朝,
合州,峡路,宋朝,,
石镜,合州,峡路,宋朝,
石照,合州,峡路,宋朝,
汉初,合州,峡路,宋朝,
巴川,合州,峡路,宋朝,
铜梁,合州,峡路,宋朝,
新明,合州,峡路,宋朝,
赤水,合州,峡路,宋朝,
昌州,峡路,宋朝,,
大足,昌州,峡路,宋朝,
昌元,昌州,峡路,宋朝,
永川,昌州,峡路,宋朝,
普州,峡路,宋朝,,
安岳,普州,峡路,宋朝,
普康,普州,峡路,宋朝,
安居,普州,峡路,宋朝,
崇龛,普州,峡路,宋朝,
乐至,普州,峡路,宋朝,
资州,峡路,宋朝,,
资阳,资州,峡路,宋朝,
龙水,资州,峡路,宋朝,
内江,资州,峡路,宋朝,
银山,资州,峡路,宋朝,
月山,资州,峡路,宋朝,
丹山,资州,峡路,宋朝,
清溪,资州,峡路,宋朝,
磐石,资州,峡路,宋朝,
遂州,峡路,宋朝,,
方义,遂州,峡路,宋朝,
小溪,遂州,峡路,宋朝,
长江,遂州,峡路,宋朝,
蓬溪,遂州,峡路,宋朝,
遂宁,遂州,峡路,宋朝,
青石,遂州,峡路,宋朝,
梓州,峡路,宋朝,,
永泰,梓州,峡路,宋朝,
剑南东川节度,梓州,峡路,宋朝,
安泰,梓州,峡路,宋朝,
东关,梓州,峡路,宋朝,
铜山,梓州,峡路,宋朝,
飞乌,梓州,峡路,宋朝,
通泉,梓州,峡路,宋朝,
盐亭,梓州,峡路,宋朝,
射洪,梓州,峡路,宋朝,
涪城,梓州,峡路,宋朝,
中江,梓州,峡路,宋朝,
元武,梓州,峡路,宋朝,
郪县,梓州,峡路,宋朝,
Aboriginal Tribal Lands,宋朝,,,
西夏,宋朝,,,
西夏,西夏,宋朝,,
吐蕃诸部,宋朝,,,
大理,宋朝,,,
广南西路,宋朝,,,
归顺羁縻州,广南西路,宋朝,,
特磨道,广南西路,宋朝,,
自杞,广南西路,宋朝,,
观州,广南西路,宋朝,,
观州,观州,广南西路,宋朝,
崖州,广南西路,宋朝,,
文昌,崖州,广南西路,宋朝,
澄迈,崖州,广南西路,宋朝,
舍城,崖州,广南西路,宋朝,
常乐州,广南西路,宋朝,,
常乐州,常乐州,广南西路,宋朝,
盐场,常乐州,广南西路,宋朝,
党州,广南西路,宋朝,,
抚康,党州,广南西路,宋朝,
善牢,党州,广南西路,宋朝,
容山,党州,广南西路,宋朝,
怀义,党州,广南西路,宋朝,
牢州,广南西路,宋朝,,
定川,牢州,广南西路,宋朝,
岩川,牢州,广南西路,宋朝,
南流,牢州,广南西路,宋朝,
窦州,广南西路,宋朝,,
怀德,窦州,广南西路,宋朝,
潭峨,窦州,广南西路,宋朝,
特亮,窦州,广南西路,宋朝,
电白,窦州,广南西路,宋朝,
信义,窦州,广南西路,宋朝,
茂名,窦州,广南西路,宋朝,
潘州,广南西路,宋朝,,
潘水,潘州,广南西路,宋朝,
南邑,潘州,广南西路,宋朝,
茂名,潘州,广南西路,宋朝,
罗州,广南西路,宋朝,,
廉江,罗州,广南西路,宋朝,
干水,罗州,广南西路,宋朝,
零禄,罗州,广南西路,宋朝,
吴川,罗州,广南西路,宋朝,
蛮州,广南西路,宋朝,,
武罗,蛮州,广南西路,宋朝,
灵竹,蛮州,广南西路,宋朝,
永定,蛮州,广南西路,宋朝,
思明州,广南西路,宋朝,,
南义州,广南西路,宋朝,,
岑溪,南义州,广南西路,宋朝,
永业,南义州,广南西路,宋朝,
连城,南义州,广南西路,宋朝,
蒙州,广南西路,宋朝,,
正义,蒙州,广南西路,宋朝,
蒙山,蒙州,广南西路,宋朝,
东区,蒙州,广南西路,宋朝,
立山,蒙州,广南西路,宋朝,
富州,广南西路,宋朝,,
马江,富州,广南西路,宋朝,
思懃,富州,广南西路,宋朝,
龙平,富州,广南西路,宋朝,
平州,广南西路,宋朝,,
怀远,平州,广南西路,宋朝,
严州,广南西路,宋朝,,
归化,严州,广南西路,宋朝,
来宾,严州,广南西路,宋朝,
澄州,广南西路,宋朝,,
无虞,澄州,广南西路,宋朝,
止戈,澄州,广南西路,宋朝,
贺水,澄州,广南西路,宋朝,
上林,澄州,广南西路,宋朝,
禺州,广南西路,宋朝,,
峨石,禺州,广南西路,宋朝,
扶莱,禺州,广南西路,宋朝,
陵城,禺州,广南西路,宋朝,
罗辨,禺州,广南西路,宋朝,
顺州,广南西路,宋朝,,
温水,顺州,广南西路,宋朝,
南河,顺州,广南西路,宋朝,
龙豪,顺州,广南西路,宋朝,
龙化,顺州,广南西路,宋朝,
绣州,广南西路,宋朝,,
常林,绣州,广南西路,宋朝,
阿林,绣州,广南西路,宋朝,
罗绣,绣州,广南西路,宋朝,
溥州,广南西路,宋朝,,
全义,溥州,广南西路,宋朝,
贺州,广南西路,宋朝,,
临贺,贺州,广南西路,宋朝,
桂岭,贺州,广南西路,宋朝,
富川,贺州,广南西路,宋朝,
冯乘,贺州,广南西路,宋朝,
封阳,贺州,广南西路,宋朝,
荡山,贺州,广南西路,宋朝,
朱崖军,广南西路,宋朝,,
振州,广南西路,宋朝,,
朱崖,振州,广南西路,宋朝,
宁远,振州,广南西路,宋朝,
吉阳,振州,广南西路,宋朝,
宁远,振州,广南西路,宋朝,
吉阳军,振州,广南西路,宋朝,
万安军,广南西路,宋朝,,
儋州,广南西路,宋朝,,
义伦,儋州,广南西路,宋朝,
昌化,儋州,广南西路,宋朝,
昌化,儋州,广南西路,宋朝,
宜伦,儋州,广南西路,宋朝,
感恩,儋州,广南西路,宋朝,
琼州,广南西路,宋朝,,
陵水,琼州,广南西路,宋朝,
舍城,琼州,广南西路,宋朝,
澄迈,琼州,广南西路,宋朝,
文昌,琼州,广南西路,宋朝,
感恩,琼州,广南西路,宋朝,
宁远,琼州,广南西路,宋朝,
宜伦,琼州,广南西路,宋朝,
吉阳,琼州,广南西路,宋朝,
靖海军节度,琼州,广南西路,宋朝,
昌化,琼州,广南西路,宋朝,
万宁,琼州,广南西路,宋朝,
乐会,琼州,广南西路,宋朝,
临高,琼州,广南西路,宋朝,
琼山,琼州,广南西路,宋朝,
太平军,广南西路,宋朝,,
郁林州,广南西路,宋朝,,
南流,郁林州,广南西路,宋朝,
兴业,郁林州,广南西路,宋朝,
郁平,郁林州,广南西路,宋朝,
兴德,郁林州,广南西路,宋朝,
南流,郁林州,广南西路,宋朝,
博白,郁林州,广南西路,宋朝,
钦州,广南西路,宋朝,,
灵山,钦州,广南西路,宋朝,
保京,钦州,广南西路,宋朝,
安京,钦州,广南西路,宋朝,
安远,钦州,广南西路,宋朝,
钦江,钦州,广南西路,宋朝,
遵化,钦州,广南西路,宋朝,
内亭,钦州,广南西路,宋朝,
雷州,广南西路,宋朝,,
遂溪,雷州,广南西路,宋朝,
海康,雷州,广南西路,宋朝,
徐闻,雷州,广南西路,宋朝,
徐闻,雷州,广南西路,宋朝,
遂溪,雷州,广南西路,宋朝,
辨州,广南西路,宋朝,,
石城,辨州,广南西路,宋朝,
陵罗,辨州,广南西路,宋朝,
吴川,辨州,广南西路,宋朝,
石龙,辨州,广南西路,宋朝,
罗辨,辨州,广南西路,宋朝,
龙化,辨州,广南西路,宋朝,
横州,广南西路,宋朝,,
乐山,横州,广南西路,宋朝,
从化,横州,广南西路,宋朝,
岭山,横州,广南西路,宋朝,
宁浦,横州,广南西路,宋朝,
永定,横州,广南西路,宋朝,
宾州,广南西路,宋朝,,
岭方,宾州,广南西路,宋朝,
迁江,宾州,广南西路,宋朝,
琅琊,宾州,广南西路,宋朝,
保城,宾州,广南西路,宋朝,
上林,宾州,广南西路,宋朝,
庆远府,广南西路,宋朝,,
庆远军节度,庆远府,广南西路,宋朝,
柳州,广南西路,宋朝,,
马平,柳州,广南西路,宋朝,
洛容,柳州,广南西路,宋朝,
龙城,柳州,广南西路,宋朝,
柳城,柳州,广南西路,宋朝,
象县,柳州,广南西路,宋朝,
洛漕,柳州,广南西路,宋朝,
贵州,广南西路,宋朝,,
郁林,贵州,广南西路,宋朝,
怀泽,贵州,广南西路,宋朝,
义山,贵州,广南西路,宋朝,
潮水,贵州,广南西路,宋朝,
浔州,广南西路,宋朝,,
桂平,浔州,广南西路,宋朝,
皇化,浔州,广南西路,宋朝,
大宾,浔州,广南西路,宋朝,
平南,浔州,广南西路,宋朝,
藤州,广南西路,宋朝,,
镡津,藤州,广南西路,宋朝,
感义,藤州,广南西路,宋朝,
义昌,藤州,广南西路,宋朝,
宁风,藤州,广南西路,宋朝,
岑溪,藤州,广南西路,宋朝,
梧州,广南西路,宋朝,,
苍梧,梧州,广南西路,宋朝,
戎城,梧州,广南西路,宋朝,
孟陵,梧州,广南西路,宋朝,
龙平,梧州,广南西路,宋朝,
昭州,广南西路,宋朝,,
平乐,昭州,广南西路,宋朝,
昭平,昭州,广南西路,宋朝,
恭城,昭州,广南西路,宋朝,
永平,昭州,广南西路,宋朝,
立山,昭州,广南西路,宋朝,
龙平,昭州,广南西路,宋朝,
融州,广南西路,宋朝,,
罗城,融州,广南西路,宋朝,
武阳,融州,广南西路,宋朝,
怀远,融州,广南西路,宋朝,
清远军节度,融州,广南西路,宋朝,
天河,融州,广南西路,宋朝,
怀远,融州,广南西路,宋朝,
融水,融州,广南西路,宋朝,
象州,广南西路,宋朝,,
阳寿,象州,广南西路,宋朝,
武仙,象州,广南西路,宋朝,
来宾,象州,广南西路,宋朝,
武化,象州,广南西路,宋朝,
邕州,广南西路,宋朝,,
上林,邕州,广南西路,宋朝,
建武军节度,邕州,广南西路,宋朝,
思刚羁縻州,邕州,广南西路,宋朝,
左江道,邕州,广南西路,宋朝,
右江道,邕州,广南西路,宋朝,
乐昌,邕州,广南西路,宋朝,
晋兴,邕州,广南西路,宋朝,
如和,邕州,广南西路,宋朝,
思笼,邕州,广南西路,宋朝,
封陵,邕州,广南西路,宋朝,
郎宁,邕州,广南西路,宋朝,
武缘,邕州,广南西路,宋朝,
宣化,邕州,广南西路,宋朝,
容州,广南西路,宋朝,,
北流,容州,广南西路,宋朝,
陆川,容州,广南西路,宋朝,
欣道,容州,广南西路,宋朝,
渭龙,容州,广南西路,宋朝,
宁远军节度,容州,广南西路,宋朝,
普宁,容州,广南西路,宋朝,
陆川,容州,广南西路,宋朝,
桂州,广南西路,宋朝,,
静江军节度,桂州,广南西路,宋朝,
荔浦,桂州,广南西路,宋朝,
临桂,桂州,广南西路,宋朝,
义宁,桂州,广南西路,宋朝,
永宁,桂州,广南西路,宋朝,
全义,桂州,广南西路,宋朝,
修仁,桂州,广南西路,宋朝,
慕化,桂州,广南西路,宋朝,
古县,桂州,广南西路,宋朝,
理定,桂州,广南西路,宋朝,
永福,桂州,广南西路,宋朝,
永宁,桂州,广南西路,宋朝,
丰水,桂州,广南西路,宋朝,
阳朔,桂州,广南西路,宋朝,
灵川,桂州,广南西路,宋朝,
兴安,桂州,广南西路,宋朝,
安化羁縻州,广南西路,宋朝,,
富羁縻州,广南西路,宋朝,,
南丹,广南西路,宋朝,,
龚州,广南西路,宋朝,,
武林,龚州,广南西路,宋朝,
隋建,龚州,广南西路,宋朝,
大同,龚州,广南西路,宋朝,
阳川,龚州,广南西路,宋朝,
平南,龚州,广南西路,宋朝,
武郎,龚州,广南西路,宋朝,
高州,广南西路,宋朝,,
信宜,高州,广南西路,宋朝,
良德,高州,广南西路,宋朝,
保定,高州,广南西路,宋朝,
电白,高州,广南西路,宋朝,
茂名,高州,广南西路,宋朝,
电白,高州,广南西路,宋朝,
白州,广南西路,宋朝,,
建宁,白州,广南西路,宋朝,
周罗,白州,广南西路,宋朝,
南昌,白州,广南西路,宋朝,
博白,白州,广南西路,宋朝,
昌化军,广南西路,宋朝,,
宜伦,昌化军,广南西路,宋朝,
感恩,昌化军,广南西路,宋朝,
昌化,昌化军,广南西路,宋朝,
吉阳军,广南西路,宋朝,,
静江府,广南西路,宋朝,,
荔浦,静江府,广南西路,宋朝,
临桂,静江府,广南西路,宋朝,
义宁,静江府,广南西路,宋朝,
永宁,静江府,广南西路,宋朝,
修仁,静江府,广南西路,宋朝,
桂州节度,静江府,广南西路,宋朝,
宜州,广南西路,宋朝,,
龙水,宜州,广南西路,宋朝,
宜山,宜州,广南西路,宋朝,
忻城,宜州,广南西路,宋朝,
环羁縻州,宜州,广南西路,宋朝,
思恩,宜州,广南西路,宋朝,
智羁縻州,宜州,广南西路,宋朝,
河池,宜州,广南西路,宋朝,
芝忻羁縻州,宜州,广南西路,宋朝,
归恩羁縻州,宜州,广南西路,宋朝,
纡羁縻州,宜州,广南西路,宋朝,
天河,宜州,广南西路,宋朝,
洛漕,宜州,广南西路,宋朝,
化州,广南西路,宋朝,,
吴川,化州,广南西路,宋朝,
石龙,化州,广南西路,宋朝,
罗辨,化州,广南西路,宋朝,
龙化,化州,广南西路,宋朝,
廉州,广南西路,宋朝,,
合浦,廉州,广南西路,宋朝,
石康,廉州,广南西路,宋朝,
封山,廉州,广南西路,宋朝,
蔡龙,廉州,广南西路,宋朝,
大廉,廉州,广南西路,宋朝,
合浦,廉州,广南西路,宋朝,
万安州,广南西路,宋朝,,
万宁,万安州,广南西路,宋朝,
陵水,万安州,广南西路,宋朝,
思唐州,广南西路,宋朝,,
平原,思唐州,广南西路,宋朝,
武郎,思唐州,广南西路,宋朝,
南仪州,广南西路,宋朝,,
广南东路,宋朝,,,
南恩州,广南东路,宋朝,,
英州,广南东路,宋朝,,
含光,英州,广南东路,宋朝,
滇阳,英州,广南东路,宋朝,
滇阳,英州,广南东路,宋朝,
南雄州,广南东路,宋朝,,
阳江,南雄州,广南东路,宋朝,
阳春,南雄州,广南东路,宋朝,
始兴,南雄州,广南东路,宋朝,
德庆府,广南东路,宋朝,,
泷水,德庆府,广南东路,宋朝,
肇庆府,广南东路,宋朝,,
四会,肇庆府,广南东路,宋朝,
梅州,广南东路,宋朝,,
程乡,梅州,广南东路,宋朝,
封州,广南东路,宋朝,,
开建,封州,广南东路,宋朝,
封川,封州,广南东路,宋朝,
贺州,广南东路,宋朝,,
临贺,贺州,广南东路,宋朝,
桂岭,贺州,广南东路,宋朝,
富川,贺州,广南东路,宋朝,
冯乘,贺州,广南东路,宋朝,
封阳,贺州,广南东路,宋朝,
荡山,贺州,广南东路,宋朝,
勤州,广南东路,宋朝,,
铜陵,勤州,广南东路,宋朝,
富林,勤州,广南东路,宋朝,
春州,广南东路,宋朝,,
阳春,春州,广南东路,宋朝,
罗水,春州,广南东路,宋朝,
流南,春州,广南东路,宋朝,
铜陵,春州,广南东路,宋朝,
铜陵,春州,广南东路,宋朝,
泷州,广南东路,宋朝,,
开阳,泷州,广南东路,宋朝,
建水,泷州,广南东路,宋朝,
镇南,泷州,广南东路,宋朝,
泷水,泷州,广南东路,宋朝,
惠州,广南东路,宋朝,,
海丰,惠州,广南东路,宋朝,
博罗,惠州,广南东路,宋朝,
河源,惠州,广南东路,宋朝,
归善,惠州,广南东路,宋朝,
英德府,广南东路,宋朝,,
雄州,广南东路,宋朝,,
滇昌,雄州,广南东路,宋朝,
保昌,雄州,广南东路,宋朝,
始兴,雄州,广南东路,宋朝,
恭州,广南东路,宋朝,,
程乡,恭州,广南东路,宋朝,
恩州,广南东路,宋朝,,
恩平,恩州,广南东路,宋朝,
杜陵,恩州,广南东路,宋朝,
阳春,恩州,广南东路,宋朝,
阳江,恩州,广南东路,宋朝,
康州,广南东路,宋朝,,
开建,康州,广南东路,宋朝,
泷水,康州,广南东路,宋朝,
封川,康州,广南东路,宋朝,
都城,康州,广南东路,宋朝,
晋康,康州,广南东路,宋朝,
悦城,康州,广南东路,宋朝,
端溪,康州,广南东路,宋朝,
新州,广南东路,宋朝,,
永顺,新州,广南东路,宋朝,
信安,新州,广南东路,宋朝,
新兴,新州,广南东路,宋朝,
端州,广南东路,宋朝,,
四会,端州,广南东路,宋朝,
平兴,端州,广南东路,宋朝,
高要,端州,广南东路,宋朝,
连州,广南东路,宋朝,,
连山,连州,广南东路,宋朝,
桂阳,连州,广南东路,宋朝,
含洭,连州,广南东路,宋朝,
含光,连州,广南东路,宋朝,
阳山,连州,广南东路,宋朝,
潮州,广南东路,宋朝,,
程乡,潮州,广南东路,宋朝,
潮阳,潮州,广南东路,宋朝,
海阳,潮州,广南东路,宋朝,
揭阳,潮州,广南东路,宋朝,
循州,广南东路,宋朝,,
雷乡,循州,广南东路,宋朝,
兴宁,循州,广南东路,宋朝,
兴宁,循州,广南东路,宋朝,
长乐,循州,广南东路,宋朝,
龙川,循州,广南东路,宋朝,
韶州,广南东路,宋朝,,
乐昌,韶州,广南东路,宋朝,
曲江,韶州,广南东路,宋朝,
始兴,韶州,广南东路,宋朝,
仁化,韶州,广南东路,宋朝,
乳源,韶州,广南东路,宋朝,
仁化,韶州,广南东路,宋朝,
建福,韶州,广南东路,宋朝,
翁源,韶州,广南东路,宋朝,
广州,广南东路,宋朝,,
香山,广州,广南东路,宋朝,
番禺,广州,广南东路,宋朝,
东莞,广州,广南东路,宋朝,
新会,广州,广南东路,宋朝,
四会,广州,广南东路,宋朝,
含洭,广州,广南东路,宋朝,
南海,广州,广南东路,宋朝,
信安,广州,广南东路,宋朝,
清海军节度,广州,广南东路,宋朝,
蒙化,广州,广南东路,宋朝,
洊水,广州,广南东路,宋朝,
咸宁,广州,广南东路,宋朝,
常康,广州,广南东路,宋朝,
义宁,广州,广南东路,宋朝,
东莞,广州,广南东路,宋朝,
怀集,广州,广南东路,宋朝,
增城,广州,广南东路,宋朝,
清远,广州,广南东路,宋朝,
番禺,广州,广南东路,宋朝,
广南路,宋朝,,,
福建路,宋朝,,,
南剑州,福建路,宋朝,,
将乐,南剑州,福建路,宋朝,
顺昌,南剑州,福建路,宋朝,
沙县,南剑州,福建路,宋朝,
尤溪,南剑州,福建路,宋朝,
剑浦,南剑州,福建路,宋朝,
建州,福建路,宋朝,,
邵武,建州,福建路,宋朝,
瓯宁,建州,福建路,宋朝,
归化,建州,福建路,宋朝,
建安,建州,福建路,宋朝,
将乐,建州,福建路,宋朝,
建宁,建州,福建路,宋朝,
松溪,建州,福建路,宋朝,
政和,建州,福建路,宋朝,
关隶,建州,福建路,宋朝,
崇安,建州,福建路,宋朝,
崇安场,建州,福建路,宋朝,
浦城,建州,福建路,宋朝,
嘉禾,建州,福建路,宋朝,
建阳,建州,福建路,宋朝,
兴化军,福建路,宋朝,,
莆田,兴化军,福建路,宋朝,
仙游,兴化军,福建路,宋朝,
兴化,兴化军,福建路,宋朝,
邵武军,福建路,宋朝,,
邵武,邵武军,福建路,宋朝,
归化,邵武军,福建路,宋朝,
建宁,邵武军,福建路,宋朝,
建宁,邵武军,福建路,宋朝,
泰宁,邵武军,福建路,宋朝,
